;FEATURES;TRAIN DATE;TEST DATE;MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;NORMALIZATION;TRAINING_TIME;TEST_TIME;mape;mae
52;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;24;zscore;50.49078178405762;0.0443410873413085;89.57240130085457;80.43539173796734
53;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;48;zscore;99.30060911178587;0.0699598789215087;92.77905422041717;81.72960787075738
54;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;72;zscore;152.4743320941925;0.0444421768188476;95.41475126377463;82.91977455215786
55;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;168;zscore;346.1811807155609;0.0556225776672363;120.72577955577496;98.1385752530299
56;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;181.98563385009768;0.0184180736541748;65.23738387961839;57.88519082801224
57;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;351.82879662513733;0.0226542949676513;64.94326927326605;56.18766730766126
58;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;515.4399094581604;0.0238373279571533;65.99265260588109;54.17641334847063
59;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;1174.566526889801;0.0272743701934814;78.85273478602734;57.43373717614234
60;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;24;zscore;9.038055896759031;0.2878549098968506;43.84119374222945;42.04892266214701
61;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;48;zscore;9.990755558013916;0.3624968528747558;53.9846393277583;48.1830776449285
62;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;72;zscore;12.236252069473268;0.3632097244262695;58.09273986548913;48.79509057029176
63;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;168;zscore;20.185749292373657;0.3901834487915039;70.21068547518182;51.27985330367552
64;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;24;zscore;22.357167959213257;0.0439734458923339;45.82491152926695;40.52219633170176
65;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;48;zscore;40.16287779808045;0.0442802906036376;54.672175075760784;45.29122081172414
66;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;72;zscore;56.99434733390808;0.0444049835205078;58.638532020979405;46.047423129549934
67;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;168;zscore;122.32944941520692;0.0441224575042724;71.39524847599935;48.01048924584241
68;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;102.6337218284607;0.0149986743927001;50.73092566794128;48.388881651993344
69;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;165.55017566680908;0.0254647731781005;56.019401981763245;49.66277231644087
70;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;230.60104966163635;0.016787052154541;59.30204619358919;50.577726817771335
71;['demanda_electrica' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;489.2495012283325;0.0228617191314697;74.13944136263765;54.59463499970232
72;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;24;zscore;11.432318687438965;0.3767735958099365;67.64718491416072;57.08089697290543
73;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;48;zscore;13.672452211380005;0.3991563320159912;67.08283041048529;55.8526169082201
74;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;72;zscore;17.00273108482361;0.4537956714630127;68.09092332050352;54.64550373136476
75;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;168;zscore;30.92078447341919;0.443453311920166;77.9085614632673;54.82081256635169
76;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;24;zscore;39.020772218704224;0.0442662239074707;76.43338391414552;63.96336830454316
77;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;48;zscore;71.31717991828918;0.0444650650024414;79.57385538552211;65.79730017487987
78;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;72;zscore;104.73511505126952;0.0439527034759521;82.22568499634198;66.69026603112317
79;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;168;zscore;227.06260418891907;0.044595718383789;98.4235734273421;71.97717924872246
80;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;162.25750279426575;0.015740156173706;70.38907305829228;62.09831283718136
81;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;273.98864698410034;0.0189235210418701;63.58116238545133;55.51803786361877
82;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;384.24606347084045;0.0226132869720459;59.1433583996745;48.9018790518051
83;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;833.7902929782867;0.0180957317352294;75.42003282123359;55.72286697208271
84;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;24;zscore;15.62116551399231;0.390911340713501;69.45922183356555;61.02817584501166
85;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;48;zscore;20.227141857147217;0.4210386276245117;69.63488393186032;60.0087257203629
86;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;72;zscore;26.32625985145569;0.3816697597503662;70.51675735413072;57.254484447810434
87;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;m5p;(10 25);24;168;zscore;48.24313116073608;0.4225242137908935;83.82918960707075;60.04404818764578
88;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;24;zscore;75.8251576423645;0.0444457530975341;91.81059728299168;84.02462529800805
89;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;48;zscore;127.02579259872437;0.0452892780303955;93.02880710085932;83.27034950948203
90;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;72;zscore;172.26939225196838;0.0446135997772216;98.50243702100693;87.87816954520639
91;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;rf;(300 10 4 1);24;168;zscore;381.91421818733215;0.0446152687072753;115.22382223951251;93.27816502895968
92;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;24;zscore;267.698388338089;0.0186688899993896;66.58696918758268;58.60743623998656
93;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;48;zscore;429.587366104126;0.0227408409118652;66.27000099050775;57.33770773940379
94;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;72;zscore;598.3676054477692;0.024820327758789;66.82668916906505;54.59172710979154
95;['demanda_electrica' 'generacion_solar' 'generacion_eolica' 'precio_gas' 'tmin_sevilla' 'tmax_sevilla' 'tmax_barcelona' 'tmin_barcelona' 'tmax_madrid' 'tmin_madrid' 'tmax_valencia' 'tmin_valencia' 'hora_sin' 'hora_cos' 'diasemana_sin' 'diasemana_cos' 'precio_electricidad'];2021-12-01 00:00:00 - 2022-12-01 00:00:00;2022-12-01 00:00:00 - 2022-12-23 00:00:00;xgb;('gbtree' 300 10 0.8 0.8 6);24;168;zscore;1246.8053998947144;0.020934343338012695;83.44763082541854;61.077419539102515
